General happiness,Gss year for this respondent                       
Not too happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Pretty happy,1972
Not too happy,1972
Not too happy,1972
Very happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Pretty happy,1972
Not too happy,1972
Very happy,1972
Not too happy,1972
Pretty happy,1972
Very happy,1972
Pretty happy,1972
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
No answer,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Not too happy,1973
Not too happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Not too happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Pretty happy,1973
Very happy,1973
Very happy,1973
Pretty happy,1973
Very happy,1973
